COOPID, YEAR, MONTH, DAY, meanTemp
84358,2019,1,1,70.00000
84358,2019,1,2,69.00000
84358,2019,1,3,70.50000
84358,2019,1,4,67.50000
84358,2019,1,5,52.50000
84358,2019,1,6,55.00000
84358,2019,1,7,60.00000
84358,2019,1,8,63.00000
84358,2019,1,9,53.00000
84358,2019,1,10,46.50000
84358,2019,1,11,48.50000
84358,2019,1,12,56.50000
84358,2019,1,13,65.50000
84358,2019,1,14,53.50000
84358,2019,1,15,50.00000
84358,2019,1,16,48.50000
84358,2019,1,17,50.50000
84358,2019,1,18,64.00000
84358,2019,1,19,63.50000
84358,2019,1,20,52.00000
84358,2019,1,21,41.50000
84358,2019,1,22,52.50000
84358,2019,1,23,65.50000
84358,2019,1,24,57.50000
84358,2019,1,25,48.50000
84358,2019,1,26,48.00000
84358,2019,1,27,45.00000
84358,2019,1,28,50.50000
84358,2019,1,29,49.50000
84358,2019,1,30,41.00000
84358,2019,1,31,43.00000
84358,2019,2,1,54.00000
84358,2019,2,2,60.50000
84358,2019,2,3,59.50000
84358,2019,2,4,60.00000
84358,2019,2,5,62.00000
84358,2019,2,6,65.50000
84358,2019,2,7,67.00000
84358,2019,2,8,69.50000
84358,2019,2,9,59.00000
84358,2019,2,10,61.00000
84358,2019,2,11,68.00000
84358,2019,2,12,72.00000
84358,2019,2,13,53.50000
84358,2019,2,14,53.00000
84358,2019,2,15,60.00000
84358,2019,2,16,66.50000
84358,2019,2,17,70.00000
84358,2019,2,18,73.00000
84358,2019,2,19,63.00000
84358,2019,2,20,68.50000
84358,2019,2,21,76.00000
84358,2019,2,22,74.00000
84358,2019,2,23,73.00000
84358,2019,2,24,70.50000
84358,2019,2,25,54.50000
84358,2019,2,26,59.50000
84358,2019,2,27,67.50000
84358,2019,2,28,65.00000
84358,2019,3,1,70.50000
84358,2019,3,2,64.00000
84358,2019,3,3,71.00000
84358,2019,3,4,58.50000
84358,2019,3,5,49.00000
84358,2019,3,6,45.50000
84358,2019,3,7,50.50000
84358,2019,3,8,59.50000
84358,2019,3,9,65.50000
84358,2019,3,10,74.00000
84358,2019,3,11,74.00000
84358,2019,3,12,64.00000
84358,2019,3,13,65.00000
84358,2019,3,14,69.00000
84358,2019,3,15,73.50000
84358,2019,3,16,63.00000
84358,2019,3,17,55.00000
84358,2019,3,18,57.50000
84358,2019,3,19,57.00000
84358,2019,3,20,58.50000
84358,2019,3,21,58.00000
84358,2019,3,22,59.00000
84358,2019,3,23,55.00000
84358,2019,3,24,61.00000
84358,2019,3,25,73.00000
84358,2019,3,26,65.50000
84358,2019,3,27,60.50000
84358,2019,3,28,62.50000
84358,2019,3,29,62.50000
84358,2019,3,30,65.50000
84358,2019,3,31,68.50000
84358,2019,4,1,55.00000
84358,2019,4,2,58.00000
84358,2019,4,3,56.00000
84358,2019,4,4,68.50000
84358,2019,4,5,70.50000
84358,2019,4,6,74.00000
84358,2019,4,7,74.00000
84358,2019,4,8,78.00000
84358,2019,4,9,75.50000
84358,2019,4,10,70.50000
